Distance (in),Time (s),X (in),Y (in),Velocity (in/s),Orientation (deg),Touch,Way X (in),Way Y (in),Way Velocity (in/s),Way Orientation (deg),Way Turn Radius (in),Touch this Point
0.0,0.0,500.0,303.0,12.0,180.0,0,500.0,303.0,12.0,180.0,6.0,0.0
1.0,0.07718463770389937,499.0,303.0,13.911892048681079,180.0,0,486.29,303.0,180.0,180.0,12.0,0.0
2.0,0.14444391205761636,498.0,303.0,15.823784097362157,180.0,0,440.0,306.0,180.0,180.0,20.0,0.0
3.0,0.20403962621672625,497.0,303.0,17.735676146043236,180.0,0,400.0,306.0,24.0,200.0,12.0,0.0
4.0,0.25753953065971597,496.0,303.0,19.647568194724315,180.0,0,387.0,295.0,18.0,200.0,6.0,1.0
5.0,0.3060749401712972,495.0,303.0,21.559460243405393,180.0,0,440.0,212.82,180.0,200.0,3.0,0.0
6.0,0.35048897330524664,494.0,303.0,23.471352292086472,180.0,0,492.02,125.91,180.0,0.0,3.0,0.0
7.0,0.39142677932235803,493.0,303.0,25.38324434076755,180.0,0,510.0,100.0,24.0,0.0,3.0,0.0
8.0,0.42939301845644756,492.0,303.0,27.29513638944863,180.0,0,,,,,,
9.0,0.46478989229487816,491.0,303.0,29.207028438129708,180.0,0,,,,,,
10.0,0.4979431213056388,490.0,303.0,31.118920486810786,180.0,0,,,,,,
11.0,0.529120180129947,489.0,303.0,33.03081253549187,180.0,0,,,,,,
12.0,0.5585434038315994,488.0,303.0,34.94270458417295,180.0,0,,,,,,
13.0,0.5863996040800523,487.0,303.0,36.85459663285403,180.0,0,,,,,,
13.70999999999998,0.6055082494246051,486.29,303.0,37.45731686993913,180.0,0,,,,,,
14.709999999999994,0.6319061727431196,485.2920934986822,303.064673136832,38.30621861231254,180.0,0,,,,,,
15.710000000000008,0.65772550438225,484.2941869973644,303.12934627366405,39.155120354685955,180.0,0,,,,,,
16.710000000000022,0.6829910635843246,483.2962804960466,303.1940194104961,40.00402209705937,180.0,0,,,,,,
17.710000000000036,0.7077261061565595,482.2983739947288,303.2586925473281,40.85292383943278,180.0,0,,,,,,
18.71000000000005,0.7319524530841596,481.300467493411,303.32336568416014,41.7018255818062,180.0,0,,,,,,
19.710000000000065,0.7556906061847755,480.3025609920932,303.38803882099216,42.55072732417961,180.0,0,,,,,,
20.71000000000008,0.7789598523401722,479.3046544907754,303.4527119578242,43.399629066553025,180.0,0,,,,,,
21.710000000000093,0.8017783576327122,478.3067479894576,303.5173850946562,44.24853080892644,180.0,0,,,,,,
22.710000000000107,0.8241632525376605,477.3088414881398,303.58205823148825,45.09743255129985,180.0,0,,,,,,
23.71000000000012,0.8461307091720678,476.310934986822,303.6467313683203,45.94633429367327,180.0,0,,,,,,
24.710000000000136,0.8676960114727461,475.3130284855042,303.7114045051523,46.79523603604668,180.0,0,,,,,,
25.71000000000015,0.8888736190660491,474.3151219841864,303.77607764198433,47.644137778420095,180.0,0,,,,,,
26.710000000000164,0.9096772254978804,473.3172154828686,303.84075077881636,48.49303952079351,180.0,0,,,,,,
27.71000000000018,0.9301198114111586,472.3193089815508,303.9054239156484,49.34194126316692,180.0,0,,,,,,
28.710000000000193,0.950213693187847,471.321402480233,303.9700970524804,50.19084300554034,180.0,0,,,,,,
29.710000000000207,0.9699705675119495,470.3234959789152,304.03477018931244,51.03974474791375,180.0,0,,,,,,
30.71000000000022,0.9894015522571745,469.3255894775974,304.09944332614447,51.888646490287165,180.0,0,,,,,,
31.710000000000235,1.00851722405711,468.3276829762796,304.1641164629765,52.73754823266058,180.0,0,,,,,,
32.71000000000025,1.0273276528757593,467.3297764749618,304.2287895998085,53.58644997503399,180.0,0,,,,,,
33.710000000000264,1.045842433861309,466.331869973644,304.29346273664055,54.43535171740741,180.0,0,,,,,,
34.71000000000028,1.0640707167353696,465.3339634723262,304.3581358734726,55.28425345978082,180.0,0,,,,,,
35.71000000000029,1.0820212329430159,464.3360569710084,304.4228090103046,56.133155202154235,180.0,0,,,,,,
36.710000000000306,1.0997023207652845,463.3381504696906,304.48748214713663,56.98205694452765,180.0,0,,,,,,
37.71000000000032,1.1171219485749084,462.3402439683728,304.55215528396866,57.83095868690106,180.0,0,,,,,,
38.710000000000335,1.1342877363976323,461.342337467055,304.6168284208007,58.67986042927448,180.0,0,,,,,,
39.71000000000035,1.1512069759251253,460.3444309657372,304.6815015576327,59.52876217164789,180.0,0,,,,,,
40.71000000000036,1.1678866491110402,459.3465244644194,304.74617469446474,60.377663914021305,180.0,0,,,,,,
41.71000000000038,1.184333445468908,458.3486179631016,304.81084783129677,61.22656565639472,180.0,0,,,,,,
42.71000000000039,1.2005537781791178,457.3507114617838,304.8755209681288,62.07546739876813,180.0,0,,,,,,
43.710000000000406,1.216553799102037,456.352804960466,304.9401941049608,62.92436914114155,180.0,0,,,,,,
44.71000000000042,1.2323394127852185,455.3548984591482,305.00486724179285,63.77327088351496,180.0,0,,,,,,
45.710000000000434,1.247916289544506,454.3569919578304,305.0695403786249,64.62217262588837,180.0,0,,,,,,
46.71000000000045,1.2632898776915522,453.3590854565126,305.1342135154569,65.47107436826178,180.0,0,,,,,,
47.71000000000046,1.2784654149737311,452.3611789551948,305.19888665228893,66.3199761106352,180.0,0,,,,,,
48.71000000000048,1.2934479392865454,451.363272453877,305.26355978912096,67.16887785300861,180.0,0,,,,,,
49.71000000000049,1.3082422987133517,450.3653659525592,305.328232925953,68.01777959538202,180.0,0,,,,,,
50.710000000000505,1.3228531609424614,449.3674594512414,305.392906062785,68.86668133775544,180.0,0,,,,,,
51.71000000000052,1.3372850221073878,448.3695529499236,305.45757919961704,69.71558308012885,180.0,0,,,,,,
52.710000000000534,1.3515422150921261,447.3716464486058,305.52225233644907,70.56448482250227,180.0,0,,,,,,
53.71000000000055,1.3656289173398528,446.373739947288,305.5869254732811,71.41338656487568,180.0,0,,,,,,
54.71000000000056,1.3795491582002495,445.3758334459702,305.6515986101131,72.2622883072491,180.0,0,,,,,,
55.710000000000576,1.393306825847785,444.3779269446524,305.71627174694515,73.11119004962251,180.0,0,,,,,,
56.71000000000059,1.4069056738006698,443.3800204433346,305.7809448837772,73.96009179199592,180.0,0,,,,,,
57.710000000000605,1.4203493270678287,442.3821139420168,305.8456180206092,74.80899353436934,180.0,0,,,,,,
58.71000000000062,1.4336412879490743,441.384207440699,305.91029115744124,75.65789527674275,180.0,0,,,,,,
59.71000000000063,1.4467849415116982,440.3863009393812,305.97496429427326,76.50679701911616,180.0,0,,,,,,
60.09711135649647,1.4518616310826282,440.0,306.0,75.99863042025339,180.1935622158319,0,,,,,,
61.09711135649647,1.465134392260996,439.0,306.0,74.68591615771474,180.69357910395428,0,,,,,,
62.09711135649647,1.4786425100068112,438.0,306.0,73.3732018951761,181.19359599207667,0,,,,,,
63.09711135649647,1.4923944818263635,437.0,306.0,72.06048763263745,181.69361288019905,0,,,,,,
64.09711135649647,1.5063992738878094,436.0,306.0,70.7477733700988,182.19362976832144,0,,,,,,
65.09711135649647,1.5206663561306992,435.0,306.0,69.43505910756015,182.69364665644383,0,,,,,,
66.09711135649647,1.5352057407260165,434.0,306.0,68.1223448450215,183.19366354456622,0,,,,,,
67.09711135649647,1.5500280242778832,433.0,306.0,66.80963058248285,183.6936804326886,0,,,,,,
68.09711135649647,1.5651444342124192,432.0,306.0,65.4969163199442,184.193697320811,0,,,,,,
69.09711135649647,1.5805668798623738,431.0,306.0,64.18420205740556,184.6937142089334,0,,,,,,
70.09711135649647,1.596308008829722,430.0,306.0,62.8714877948669,185.19373109705577,0,,,,,,
71.09711135649647,1.6123812692944002,429.0,306.0,61.558773532328246,185.69374798517816,0,,,,,,
72.09711135649647,1.6288009790381766,428.0,306.0,60.24605926978959,186.19376487330055,0,,,,,,
73.09711135649647,1.6455824020712273,427.0,306.0,58.933345007250935,186.69378176142294,0,,,,,,
74.09711135649647,1.6627418338889473,426.0,306.0,57.62063074471228,187.19379864954533,0,,,,,,
75.09711135649647,1.6802966965522712,425.0,306.0,56.307916482173624,187.69381553766772,0,,,,,,
76.09711135649647,1.6982656449818132,424.0,306.0,54.99520221963497,188.1938324257901,0,,,,,,
77.09711135649647,1.7166686860912406,423.0,306.0,53.68248795709631,188.6938493139125,0,,,,,,
78.09711135649647,1.735527312666969,422.0,306.0,52.36977369455766,189.19386620203488,0,,,,,,
79.09711135649647,1.7548646542401403,421.0,306.0,51.057059432019,189.69388309015727,0,,,,,,
80.09711135649647,1.7747056476063205,420.0,306.0,49.74434516948035,190.19389997827966,0,,,,,,
81.09711135649647,1.7950772301454456,419.0,306.0,48.43163090694169,190.69391686640205,0,,,,,,
82.09711135649647,1.8160085597008864,418.0,306.0,47.118916644403036,191.19393375452444,0,,,,,,
83.09711135649647,1.8375312655199088,417.0,306.0,45.80620238186438,191.69395064264683,0,,,,,,
84.09711135649647,1.8596797356741186,416.0,306.0,44.493488119325725,192.1939675307692,0,,,,,,
85.09711135649647,1.882491447514304,415.0,306.0,43.18077385678707,192.6939844188916,0,,,,,,
86.09711135649647,1.9060073491304201,414.0,306.0,41.868059594248415,193.194001307014,0,,,,,,
87.09711135649647,1.930272301564703,413.0,306.0,40.55534533170976,193.69401819513638,0,,,,,,
88.09711135649647,1.955335593770919,412.0,306.0,39.242631069171104,194.19403508325877,0,,,,,,
89.09711135649647,1.9812515451688004,411.0,306.0,37.92991680663245,194.69405197138116,0,,,,,,
90.09711135649647,2.008080214303425,410.0,306.0,36.61720254409379,195.19406885950355,0,,,,,,
91.09711135649647,2.035888236849062,409.0,306.0,35.30448828155514,195.69408574762593,0,,,,,,
92.09711135649647,2.0647498223603415,408.0,306.0,33.99177401901648,196.19410263574832,0,,,,,,
93.09711135649647,2.094747947278574,407.0,306.0,32.67905975647783,196.6941195238707,0,,,,,,
94.09711135649647,2.125975792464033,406.0,306.0,31.36634549393917,197.1941364119931,0,,,,,,
95.09711135649647,2.158538487968521,405.0,306.0,30.053631231400516,197.6941533001155,0,,,,,,
96.09691765927829,2.1925485113308003,404.00021494761813,305.9934814022949,28.74117123796278,198.1940733363576,0,,,,,,
97.09662833254275,2.228144399904179,403.0032869386069,305.9189429887904,27.428836778756406,198.69394555622605,0,,,,,,
98.09633900580724,2.265485116765793,402.01602283010965,305.76168202633596,26.11650231954999,199.1938177760945,0,,,,,,
99.09604967907171,2.3047505337264367,401.0452746562052,305.5227899730983,24.804167860343597,199.69368999596296,0,,,,,,
100.09576035233613,2.345403150265803,400.09777982334055,305.20392484183816,24.378923333618566,199.7128336525234,0,,,,,,
101.09547102560063,2.386771114289679,399.1801143498559,304.80729969259374,23.9536788068935,199.73197730908382,0,,,,,,
102.09518169886506,2.4288800520882723,398.2986472256124,304.33566727310085,23.52843428016846,199.75112096564425,0,,,,,,
103.0948923721295,2.47175699210408,397.4594962084852,303.7923009135485,23.103189753443424,199.77026462220468,0,,,,,,
104.0948923721295,2.515443226124731,396.69610992311607,303.14635867208233,22.677822156500145,199.78941381913972,0,,,,,,
