Distance (in),Time (s),X (in),Y (in),Velocity (in/s),Orientation (deg),Touch,Rotational Velocity (deg/s),Way X (in),Way Y (in),Way Velocity (in/s),Way Orientation (deg),Way Turn Radius (in),Touch this Point
0.0,0.0,302.0,72.0,36.0,0.0,0,0.0,302.0,72.0,36.0,0.0,3.0,0.0
1.0,0.02713178294573643,302.0,71.0,37.714285714285715,0.0,0,0.0,302.0,58.0,60.0,0.0,3.0,0.0
2.0,0.05305770887166236,302.0,70.0,39.42857142857143,0.0,0,0.0,302.0,42.0,36.0,0.0,3.0,0
3.0,0.07788040390712335,302.0,69.0,41.142857142857146,0.0,0,0.0,302.0,25.0,12.0,0.0,3.0,0.0
4.0,0.10168992771664716,302.0,68.0,42.85714285714286,0.0,0,-0.0,,,,,,
5.0,0.1245657447101112,302.0,67.0,44.57142857142858,0.0,0,-0.0,,,,,,
6.0,0.1465783233264634,302.0,66.0,46.28571428571429,0.0,0,-0.0,,,,,,
7.0,0.1677904445385846,302.0,65.0,48.00000000000001,0.0,0,-0.0,,,,,,
8.0,0.18825828079589454,302.0,64.0,49.71428571428572,0.0,0,0.0,,,,,,
9.0,0.20803229209532956,302.0,63.0,51.42857142857144,0.0,0,0.0,,,,,,
10.0,0.22715797515543884,302.0,62.0,53.14285714285715,0.0,0,0.0,,,,,,
11.0,0.24567649367395736,302.0,61.0,54.85714285714287,0.0,0,0.0,,,,,,
12.0,0.2636252116226753,302.0,60.0,56.571428571428584,0.0,0,0.0,,,,,,
13.0,0.2810381469460584,302.0,59.0,58.2857142857143,0.0,0,0.0,,,,,,
14.0,0.2984024880313297,302.0,58.0,56.89285714285715,0.0,0,0.0,,,,,,
15.0,0.31619721316637894,302.0,57.0,55.50000000000001,0.0,0,0.0,,,,,,
16.0,0.33444419915530044,302.0,56.0,54.10714285714286,0.0,0,0.0,,,,,,
17.0,0.35316703432748364,302.0,55.0,52.714285714285715,0.0,0,0.0,,,,,,
18.0,0.37239120185237207,302.0,54.0,51.32142857142857,0.0,0,0.0,,,,,,
19.0,0.39214428827212516,302.0,53.0,49.92857142857142,0.0,0,0.0,,,,,,
20.0,0.4124562215329159,302.0,52.0,48.53571428571428,0.0,0,-0.0,,,,,,
21.0,0.4333595436680409,302.0,51.0,47.14285714285713,0.0,0,-0.0,,,,,,
22.0,0.4548897243677718,302.0,50.0,45.749999999999986,0.0,0,-0.0,,,,,,
23.0,0.47708552302016977,302.0,49.0,44.35714285714284,0.0,0,-0.0,,,,,,
24.0,0.49998940850074236,302.0,48.0,42.964285714285694,0.0,0,-0.0,,,,,,
25.0,0.5236480481289637,302.0,47.0,41.57142857142855,0.0,0,0.0,,,,,,
26.0,0.5481128799332451,302.0,46.0,40.1785714285714,0.0,0,0.0,,,,,,
27.0,0.5734407858581659,302.0,45.0,38.785714285714256,0.0,0,0.0,,,,,,
28.0,0.5996948880616353,302.0,44.0,37.39285714285711,0.0,0,0.0,,,,,,
29.0,0.6269454963341414,302.0,43.0,36.0,0.0,0,0.0,,,,,,
30.0,0.6552788296674747,302.0,42.0,34.588235294117645,0.0,0,0.0,,,,,,
31.0,0.6847927185563636,302.0,41.0,33.17647058823529,0.0,0,0.0,,,,,,
32.0,0.715589820005639,302.0,40.0,31.76470588235294,0.0,0,0.0,,,,,,
33.0,0.7477867897026087,302.0,39.0,30.352941176470587,0.0,0,0.0,,,,,,
34.0,0.7815169484327674,302.0,38.0,28.941176470588236,0.0,0,0.0,,,,,,
35.0,0.8169336150994341,302.0,37.0,27.529411764705884,0.0,0,0.0,,,,,,
36.0,0.85421431685382,302.0,36.0,26.117647058823533,0.0,0,0.0,,,,,,
37.0,0.8935661687056718,302.0,35.0,24.70588235294118,0.0,0,0.0,,,,,,
38.0,0.9352328353723385,302.0,34.0,23.29411764705883,0.0,0,-0.0,,,,,,
39.0,0.9795036687056718,302.0,33.0,21.882352941176478,0.0,0,-0.0,,,,,,
40.0,1.026725890927894,302.0,32.0,20.470588235294127,0.0,0,-0.0,,,,,,
41.0,1.0773211290231322,302.0,31.0,19.058823529411775,0.0,0,-0.0,,,,,,
42.0,1.1318083085103117,302.0,30.0,17.647058823529424,0.0,0,-0.0,,,,,,
43.0,1.1908360862880893,302.0,29.0,16.235294117647072,0.0,0,0.0,,,,,,
44.0,1.2552300256820286,302.0,28.0,14.823529411764719,0.0,0,0.0,,,,,,
45.0,1.3260633590153619,302.0,27.0,13.411764705882366,0.0,0,0.0,,,,,,
46.0,1.4047670627190656,302.0,26.0,12.000000000000012,0.0,0,0.0,,,,,,
47.0,1.4881003960523989,302.0,25.0,12.0,0.0,0,0.0,,,,,,
