Distance (in),Time (s),X (in),Y (in),Velocity (in/s),Orientation (deg),Touch,Way X (in),Way Y (in),Way Velocity (in/s),Way Orientation (deg),Way Turn Radius (in),Touch this Point
0.0,0.0,268.0,102.0,12.0,0.0,0,268.0,102.0,12.0,0.0,3.0,0
1.0,0.08150843873613675,267.0,102.0,12.537336636694773,0.0,0,199.0,102.0,48.0,0.0,12.0,0
2.0,0.1595968045856491,266.0,102.0,13.074673273389546,0.0,0,199.0,65.0,24.0,0.0,3.0,0
3.0,0.2345405503576426,265.0,102.0,13.61200991008432,0.0,0,,,,,,
4.0,0.3065831395988301,264.0,102.0,14.149346546779093,0.0,0,,,,,,
5.0,0.3759408153506249,263.0,102.0,14.686683183473866,0.0,0,,,,,,
6.0,0.44280651221359874,262.0,102.0,15.224019820168639,0.0,0,,,,,,
7.0,0.5073530899965674,261.0,102.0,15.761356456863412,0.0,0,,,,,,
8.0,0.5697360253957954,260.0,102.0,16.298693093558185,0.0,0,,,,,,
9.0,0.630095667172028,259.0,102.0,16.83602973025296,0.0,0,,,,,,
10.0,0.6885591371005035,258.0,102.0,17.373366366947735,0.0,0,,,,,,
11.0,0.7452419414276888,257.0,102.0,17.91070300364251,0.0,0,,,,,,
12.0,0.8002493441749111,256.0,102.0,18.448039640337285,0.0,0,,,,,,
13.0,0.8536775433116077,255.0,102.0,18.98537627703206,0.0,0,,,,,,
14.0,0.9056146828069623,254.0,102.0,19.522712913726835,0.0,0,,,,,,
15.0,0.9561417272953674,253.0,102.0,20.06004955042161,0.0,0,,,,,,
16.0,1.0053332211443868,252.0,102.0,20.597386187116385,0.0,0,,,,,,
17.0,1.0532579497862176,251.0,102.0,21.13472282381116,0.0,0,,,,,,
18.0,1.099979518034825,250.0,102.0,21.672059460505935,0.0,0,,,,,,
19.0,1.1455568575870623,249.0,102.0,22.20939609720071,0.0,0,,,,,,
20.0,1.1900446738648864,248.0,102.0,22.746732733895485,0.0,0,,,,,,
21.0,1.2334938406958311,247.0,102.0,23.28406937059026,0.0,0,,,,,,
22.0,1.2759517499719015,246.0,102.0,23.821406007285034,0.0,0,,,,,,
23.0,1.3174626223122154,245.0,102.0,24.35874264397981,0.0,0,,,,,,
