Distance (in),Time (s),X (in),Y (in),Velocity (in/s),Orientation (deg),Touch,Rotational Velocity (deg/s),Way X (in),Way Y (in),Way Velocity (in/s),Way Orientation (deg),Way Turn Radius (in),Touch this Point
0.0,0.0,186.0,249.0,24.0,45.0,0,0.0,186.0,249.0,24.0,45.0,3.0,0
1.0,0.04136247395440236,186.0,250.0,24.353007177587664,45.26434741579986,0,6.5776293170819375,186.0,285.0,36.0,90.0,10.0,0
2.0,0.0821296955074116,186.0,251.0,24.706014355175327,45.78194877484002,0,13.061942099009773,233.39,285.14,36.0,90.0,3.0,0
3.0,0.12231855429782082,186.0,252.0,25.05902153276299,46.5422717521525,0,19.45554906274211,,,,,,
4.0,0.1619452311822172,186.0,253.0,25.412028710350654,47.535310461352026,0,25.76095287662253,,,,,,
5.0,0.20102523734706604,186.0,254.0,25.765035887938318,48.75155329915504,0,31.980554041593667,,,,,,
6.0,0.23957345075964837,186.0,255.0,26.11804306552598,50.18195312564835,0,38.11665637763151,,,,,,
7.0,0.2776041501722094,186.0,256.0,26.471050243113645,51.81789958362176,0,44.17147214677855,,,,,,
8.0,0.3151310468737975,186.0,257.0,26.82405742070131,53.65119337908949,0,50.14712684128242,,,,,,
9.0,0.35216731436647425,186.0,258.0,27.177064598288972,55.674022361925005,0,56.045663662771794,,,,,,
10.0,0.3887256161266165,186.0,259.0,27.530071775876635,57.8789392605607,0,61.869047716088076,,,,,,
11.0,0.42481813159769605,186.0,260.0,27.8830789534643,60.07959405026853,0,62.52630165498221,,,,,,
12.0,0.46045658054803185,186.0,261.0,28.236086131051962,62.253242727816435,0,62.52630165498221,,,,,,
13.0,0.4956522459153994,186.0,262.0,28.589093308639626,64.40054008774102,0,62.52630165498221,,,,,,
14.0,0.5304159952499117,186.0,263.0,28.94210048622729,66.52211739544413,0,62.52630165498221,,,,,,
15.0,0.5647583008571311,186.0,264.0,29.295107663814953,68.61858350116557,0,62.52630165498221,,,,,,
16.0,0.5986892587348237,186.0,265.0,29.648114841402617,70.69052588880173,0,62.52630165498221,,,,,,
17.0,0.6322186063890265,186.0,266.0,30.00112201899028,72.73851166408971,0,62.52630165498221,,,,,,
18.0,0.6653557396080846,186.0,267.0,30.354129196577944,74.76308848631578,0,62.52630165498221,,,,,,
19.0,0.6981097282669483,186.0,268.0,30.707136374165607,76.76478544737724,0,62.52630165498221,,,,,,
20.0,0.7304893312282364,186.0,269.0,31.06014355175327,78.73674163007179,0,62.29341414182967,,,,,,
21.0,0.7625030104013106,186.0,270.0,31.413150729340934,80.5270074462666,0,57.185854954073584,,,,,,
22.0,0.7941589440158145,186.0,271.0,31.766157906928598,82.14130258105499,0,52.134740814062596,,,,,,
23.0,0.8254650391617658,186.0,272.0,32.11916508451626,83.5851233961497,0,47.138837778806106,,,,,,
24.0,0.8564289436443017,186.0,273.0,32.472172262103925,84.86375369794871,0,42.1969519305875,,,,,,
25.0,0.8870580571975395,186.0,274.0,32.82517943969159,85.97844677668255,0,37.30792766442016,,,,,,
26.0,0.9173595420986838,186.0,275.0,33.17818661727925,86.94187383915951,0,32.48720152832567,,,,,,
26.996559383257434,0.947237724793803,186.04676357971528,275.9954615873908,33.52997923246146,87.75489330315378,0,27.7023901689545,,,,,,
27.996142768670985,0.9768933127531708,186.19292370310137,276.98430139379354,33.88283934210982,88.42202963527214,0,22.967150309230966,,,,,,
28.995726154084572,1.0062416635285274,186.43707289105768,277.95360945546184,34.23569945175819,88.94764030380453,0,18.280465342217425,,,,,,
29.995309539498148,1.0352890779067156,186.77677168560308,278.89370076665415,34.588559561406555,89.33592337174484,0,13.641349616259582,,,,,,
30.99489292491169,1.0640416648180855,187.20862592867203,279.79518224574184,34.94141967105491,89.59092467707694,0,9.048847190845692,,,,,,
31.994476310325254,1.0925053490475032,187.72832067541978,280.6490465877761,35.29427978070327,90.0,0,4.502030654349795,,,,,,
32.99405969573884,1.1206858785618126,188.33066330772508,281.4467622625014,35.64713989035164,90.0,0,0.0,,,,,,
33.993643081152435,1.1485888314764259,189.00963541711394,282.18035875858556,36.0,90.0,0,0.0,,,,,,
34.993226466565964,1.1763550366268016,189.75845293870765,282.8425062223344,36.0,90.0,0,0.0,,,,,,
35.99280985197953,1.2041212417771785,190.56963393535668,283.4265886951671,36.0,90.0,0,0.0,,,,,,
36.992393237393124,1.231887446927556,191.43507335468325,283.9267702180871,36.0,90.0,0,0.0,,,,,,
37.99197662280667,1.2596536520779322,192.34612401208568,284.3380531426553,36.0,90.0,0,0.0,,,,,,
